model_id,name,organization,organization_id,organization_country,params,context,canonical_model_id,release_date,announcement_date,multimodal,license,knowledge_cutoff,input_price,output_price,throughput,latency,aime_2025_score,hle_score,gpqa_score,swe_bench_verified_score,mmmu_score,model_name_list,org_name_list
grok-4.1-2025-11-17,Grok-4.1,xAI,xai,US,,256000.0,,2025-11-17,2025-11-17,True,proprietary,,3.0000000000000000,15.0000000000000000,100.0,,,,,,,Grok-4.1,xAI
grok-4-1-fast-non-reasoning,Grok-4.1 Fast Non-Reasoning,xAI,xai,US,,2000000.0,,2025-11-17,2025-11-17,True,proprietary,,0.20000000000000000000,0.50000000000000000000,90,,,,,,,Grok-4.1 Fast Non-Reasoning,xAI
grok-4-1-fast-reasoning,Grok-4.1 Fast Reasoning,xAI,xai,US,,2000000.0,,2025-11-17,2025-11-17,True,proprietary,,0.20000000000000000000,0.50000000000000000000,90,,,,,,,Grok-4.1 Fast Reasoning,xAI
grok-4.1-thinking-2025-11-17,Grok-4.1 Thinking,xAI,xai,US,,256000.0,,2025-11-17,2025-11-17,True,proprietary,,3.0000000000000000,15.0000000000000000,80.0,,,,,,,Grok-4.1 Thinking,xAI
grok-4-fast,Grok 4 Fast,xAI,xai,US,,2000000.0,,2025-08-28,2025-08-28,True,proprietary,,0.20000000000000000000,0.50000000000000000000,90,,0.92,0.2,0.857,,,Grok 4 Fast,xAI
grok-4-fast-non-reasoning,Grok-4 Fast Non-Reasoning,xAI,xai,US,,2000000.0,,2025-08-28,2025-08-28,True,proprietary,,0.20000000000000000000,0.50000000000000000000,90,,,,,,,Grok-4 Fast Non-Reasoning,xAI
grok-4-fast-reasoning,Grok-4 Fast Reasoning,xAI,xai,US,,2000000.0,,2025-08-28,2025-08-28,True,proprietary,,0.20000000000000000000,0.50000000000000000000,90,,,,,,,Grok-4 Fast Reasoning,xAI
grok-4-heavy,Grok-4 Heavy,xAI,xai,US,,,,,2025-07-09,True,proprietary,2024-12-31,,,,,1.0,,0.884,,,Grok-4 Heavy,xAI
grok-code-fast-1,Grok Code Fast 1,xAI,xai,US,,256000.0,,2025-08-28,2025-08-28,False,proprietary,,0.20000000000000000000,1.50000000000000000000,76.41,,,,,0.708,,Grok Code Fast 1,xAI
jamba-1.5-large,Jamba 1.5 Large,AI21 Labs,ai21,,398000000000.0,256000.0,,2024-08-22,2024-08-22,False,jamba_open_model_license,2024-03-05,2.0000000000000000,8.0000000000000000,100.0,,,,0.369,,,Jamba 1.5 Large,AI21 Labs
jamba-1.5-mini,Jamba 1.5 Mini,AI21 Labs,ai21,,52000000000.0,256144.0,,2024-08-22,2024-08-22,False,jamba_open_model_license,2024-03-05,0.20000000000000000000,0.40000000000000000000,100.0,,,,0.323,,,Jamba 1.5 Mini,AI21 Labs
kimi-k1.5,Kimi-k1.5,Moonshot AI,moonshotai,CN,,,,2025-01-20,2025-01-20,True,proprietary,,,,,,,,,,0.7,Kimi-k1.5,Moonshot AI
kimi-k2-0905,Kimi K2 0905,Moonshot AI,moonshotai,CN,1000000000000.0,262144.0,,2025-09-05,2025-09-05,False,proprietary,,0.60000000000000000000,2.5000000000000000,,,,,0.758,,,Kimi K2 0905,Moonshot AI
kimi-k2-base,Kimi K2 Base,Moonshot AI,moonshotai,CN,1000000000000.0,,,2025-07-11,2025-07-11,False,mit,,,,,,,,0.481,,,Kimi K2 Base,Moonshot AI
kimi-k2-instruct,Kimi K2 Instruct,Moonshot AI,moonshotai,CN,1000000000000.0,200000.0,,2025-07-11,2025-07-11,False,mit,,0.50000000000000000000,0.50000000000000000000,,,0.495,,0.751,,,Kimi K2 Instruct,Moonshot AI
kimi-k2-instruct-0905,Kimi K2-Instruct-0905,Moonshot AI,moonshotai,CN,1000000000000.0,,,2025-09-05,2025-09-05,False,mit,,,,,,0.495,0.047,0.751,0.658,,Kimi K2-Instruct-0905,Moonshot AI
kimi-k2-thinking-0905,Kimi K2-Thinking-0905,Moonshot AI,moonshotai,CN,1000000000000.0,262144.0,,2025-09-05,2025-09-05,False,mit,,0.47000000000000000000,2.0000000000000000,,,1.0,0.51,0.845,0.713,,Kimi K2-Thinking-0905,Moonshot AI
llama-3.1-405b-instruct,Llama 3.1 405B Instruct,Meta,meta,US,405000000000.0,128000.0,,2024-07-23,2024-07-23,False,llama_3_1_community_license,,0.89000000000000000000,0.89000000000000000000,42.0,,,,0.507,,,Llama 3.1 405B Instruct,Meta
llama-3.1-70b-instruct,Llama 3.1 70B Instruct,Meta,meta,US,70000000000.0,128000.0,,2024-07-23,2024-07-23,False,llama_3_1_community_license,,0.20000000000000000000,0.20000000000000000000,42.0,,,,0.417,,,Llama 3.1 70B Instruct,Meta
llama-3.1-8b-instruct,Llama 3.1 8B Instruct,Meta,meta,US,8000000000.0,131072.0,,2024-07-23,2024-07-23,False,llama_3_1_community_license,2023-12-31,0.03000000000000000000,0.03000000000000000000,42.0,,,,0.304,,,Llama 3.1 8B Instruct,Meta
llama-3.1-nemotron-70b-instruct,Llama 3.1 Nemotron 70B Instruct,NVIDIA,nvidia,US,70000000000.0,,,2024-10-01,2024-10-01,False,llama_3_1_community_license,2023-12-01,,,,,,,,,,Llama 3.1 Nemotron 70B Instruct,NVIDIA
llama-3.1-nemotron-nano-8b-v1,Llama 3.1 Nemotron Nano 8B V1,NVIDIA,nvidia,US,8000000000.0,,,2025-03-18,2025-03-18,False,llama_3_1_community_license,2023-12-31,,,,,0.471,,0.541,,,Llama 3.1 Nemotron Nano 8B V1,NVIDIA
